county_id,unemployment_rate,icu_beds_count,hospitals_count,medicare_count,income,total_population
48007,4.4,0,0,8334.0,44601,24832
48037,4.2,82,2,20249.0,46283,93635
48043,2.9,3,1,2338.0,38906,9220
29183,2.9,39,4,70525.0,78380,385115
29189,3.2,468,9,210733.0,62931,999539
29199,3.1,0,1,1008.0,42939,4883
24005,3.6,123,5,167442.0,71810,828637
24025,3.4,19,2,49059.0,83445,250132
26013,6.0,0,1,2101.0,42757,8580
26029,5.2,0,1,7738.0,51567,26160
30111,3.7,41,2,31881.0,57955,156332
31015,3.0,0,1,641.0,48750,2049
31021,4.1,0,1,1875.0,50174,6546
26121,3.8,37,1,39769.0,46077,172707
26127,6.7,0,1,7096.0,44382,26317
26139,2.3,22,3,52532.0,63962,280243
26141,10.4,0,0,4993.0,43758,12854
26151,4.8,0,3,10975.0,44417,41535
26153,7.7,0,1,2573.0,37428,8114
45019,2.4,221,6,76594.0,57882,387847
46071,6.2,0,0,516.0,38041,3275
46081,3.0,5,2,6453.0,49275,25018
46083,2.8,0,2,8169.0,81849,53147
46089,5.2,0,1,766.0,41674,2366
46099,3.3,54,4,37488.0,57322,183660
46105,3.3,0,0,812.0,50450,2964
46109,6.3,0,1,2298.0,51228,10250
33001,3.2,10,1,18685.0,65834,60383
33007,4.1,3,3,10502.0,45386,32119
33011,3.2,62,5,82125.0,75777,406371
33013,2.6,18,3,35420.0,69856,147958
34001,6.4,64,2,59085.0,57514,272926
34005,3.7,82,3,91968.0,82839,449192
34011,6.8,36,1,29383.0,50000,154952
31031,2.4,0,1,1354.0,53226,5792
31043,4.2,0,0,3472.0,52401,20529
31049,2.2,0,0,540.0,53438,1901
31055,3.2,187,8,89632.0,58640,549706
31061,2.9,0,1,926.0,49453,3019
31067,3.5,3,1,5663.0,52223,21632
39035,5.1,680,15,263068.0,46720,1257401
39051,5.2,7,1,9360.0,57774,42296
39053,7.0,14,1,7147.0,42002,30203
29063,4.1,0,0,2418.0,46517,12564
29069,6.7,0,0,7842.0,32348,30905
29081,5.0,0,1,2261.0,42889,8615
29089,3.4,0,0,2264.0,50356,10144
29091,4.0,12,2,11295.0,34984,40139
37015,5.3,0,1,5541.0,31287,19913
37023,3.5,16,1,21452.0,40854,88898
37029,3.6,0,0,2115.0,68327,10336
37031,4.2,8,1,19714.0,51584,68699
29133,4.4,0,0,3124.0,32212,13916
29143,4.9,0,0,4117.0,33846,18030
29149,4.7,0,0,3044.0,32070,10779
29155,5.9,7,1,4100.0,32468,17344
29165,2.7,0,1,17236.0,74199,96899
37101,3.4,24,1,34261.0,54610,186308
37107,3.6,14,1,14716.0,37515,57934
37113,4.2,5,2,12071.0,40659,34160
37119,3.4,173,7,145080.0,61695,1034290
37125,3.6,68,1,26701.0,54468,94191
40001,3.7,0,1,4604.0,33366,22136
40007,1.7,0,1,1112.0,52571,5445
40021,3.5,30,2,9831.0,39187,48404
40023,4.8,0,1,3960.0,30298,14979
40033,2.5,0,0,1434.0,49962,6000
40041,3.4,6,1,11422.0,38234,41878
40051,3.2,9,1,10808.0,55527,54351
37189,3.2,10,1,9783.0,41541,53421
48051,3.5,0,1,4473.0,52510,17596
35023,4.7,0,0,1176.0,31829,4446
35029,17.3,6,1,6962.0,27602,24319
35031,7.0,5,4,11274.0,30336,72849
35035,5.0,10,2,13425.0,43533,65130
47153,4.7,0,0,4684.0,51312,14654
47157,4.4,277,6,155627.0,48415,937847
47163,4.2,103,3,44107.0,42251,156519
47171,6.4,0,1,5411.0,36576,17830
47181,5.6,0,1,4033.0,34299,16713
45057,3.6,20,1,22774.0,50557,86544
36085,3.3,114,2,92377.0,76244,475948
36097,6.4,0,1,4952.0,47810,18112
36105,4.6,10,2,17928.0,53877,75783
36111,4.1,25,3,42097.0,61652,180129
36115,4.8,0,0,14521.0,52527,62183
36119,3.9,179,9,182351.0,89968,975321
45091,2.9,24,1,48224.0,59394,251664
46009,3.5,0,2,1628.0,52923,6972
46013,3.3,10,2,7722.0,53807,38637
46021,4.2,0,0,398.0,51548,1443
29209,10.9,0,0,10881.0,43292,31529
29217,3.7,6,1,4839.0,41479,20665
29227,2.9,0,0,547.0,48214,2053
30001,3.4,0,1,2420.0,43880,9360
37171,3.6,10,2,18511.0,39071,72315
37177,7.3,0,0,871.0,32411,4090
39067,7.1,0,1,3886.0,46223,15397
39073,5.7,4,1,6864.0,48073,28547
39079,8.1,4,1,7572.0,43397,32624
48057,3.3,6,1,4427.0,58788,21821
48071,4.6,0,2,6445.0,74368,39283
48093,3.6,0,1,3778.0,42419,13492
48097,3.1,5,2,8570.0,60027,39064
24510,4.8,508,12,107662.0,46641,619796
45063,2.5,55,2,55639.0,57482,281870
45067,4.5,10,1,7904.0,31129,31765
45077,2.9,15,2,26769.0,45332,121449
26053,5.4,5,1,4698.0,36689,15577
46027,2.7,0,1,2121.0,41773,13907
46031,5.3,0,0,619.0,32260,4177
46047,4.8,0,1,2633.0,48862,6783
46053,3.7,0,2,1170.0,42679,4209
27007,4.9,10,2,9168.0,45923,45847
27015,4.8,0,3,6330.0,55764,25243
27021,7.7,0,1,9999.0,50162,28810
27027,3.4,0,0,10415.0,61409,62040
46123,3.0,0,1,1390.0,48409,5480
46135,3.1,10,1,5070.0,50029,22660
30011,2.4,0,1,343.0,45347,1320
30017,4.1,4,1,2729.0,53050,11895
30025,2.0,0,1,552.0,56806,2925
30027,4.6,0,1,3238.0,47110,11327
30033,3.0,0,1,296.0,47188,1086
30039,6.9,0,1,1079.0,49063,3206
30045,4.3,0,0,599.0,43281,1965
31131,2.7,0,2,3637.0,54605,15875
25005,4.6,96,4,123967.0,62514,557016
25009,3.3,98,5,162861.0,73533,775860
25019,11.5,0,1,2037.0,91942,10912
34023,3.5,185,5,142193.0,83133,837288
26055,3.5,20,1,22862.0,58229,91222
31091,3.2,0,0,246.0,41607,684
31095,2.6,0,1,2045.0,46576,7276
31103,2.3,0,0,259.0,48864,720
31111,3.3,19,1,8094.0,55875,35569
28089,4.0,7,1,18618.0,68600,102212
28093,5.3,0,1,8139.0,41134,35981
27031,5.6,0,1,1799.0,51903,5270
27049,3.8,4,2,10872.0,62431,46138
27055,4.0,0,0,4748.0,56837,18709
37049,3.8,72,1,24692.0,49391,103374
37051,4.9,48,1,54766.0,44737,332766
37131,5.5,0,0,5778.0,33508,20426
37137,3.5,0,0,4244.0,45211,12803
37149,3.5,6,1,6667.0,48412,20434
37155,5.1,25,1,25074.0,32407,134187
42091,3.9,215,11,168969.0,84791,818677
42097,6.8,6,1,23674.0,44534,93038
42103,6.7,0,0,15223.0,63417,55687
34025,3.8,152,5,129444.0,91807,627551
34039,4.3,80,3,91765.0,73376,557320
35003,8.5,0,0,1513.0,42047,3547
35005,4.9,24,2,12596.0,42177,65454
35009,4.0,8,1,7732.0,41941,50283
30061,10.2,0,1,1588.0,40117,4194
38001,3.0,0,1,698.0,54700,2368
9011,4.4,32,2,57496.0,69411,270772
10001,4.4,29,1,37037.0,57647,173145
10003,3.8,119,2,102603.0,68336,555036
12009,3.1,159,7,160561.0,51536,568183
12075,3.5,0,1,12577.0,36554,39713
5031,3.0,66,2,19618.0,45672,104246
5035,4.4,0,1,9587.0,38558,49278
5041,5.2,0,2,3046.0,27036,12094
5057,4.3,8,1,4924.0,38701,22154
5063,4.4,12,1,8981.0,39945,37097
5069,5.9,34,1,16277.0,37630,71373
5075,4.7,0,1,4653.0,37603,16777
5077,6.2,0,0,2162.0,27901,9614
4025,4.3,39,2,84609.0,48259,220972
5005,4.4,17,2,16055.0,40072,41093
5007,2.8,30,3,44683.0,61271,251823
16073,3.8,0,0,2519.0,36092,11384
16085,4.3,0,2,3117.0,54015,10104
16087,4.6,0,1,3128.0,37521,9996
17013,3.8,0,0,1300.0,53641,4897
17021,4.3,0,2,8085.0,50668,33562
17027,2.7,4,1,7728.0,64543,37640
16031,2.4,6,1,4204.0,48162,23472
16035,6.7,0,1,2925.0,41122,8533
16037,4.5,0,0,1382.0,37976,4141
16049,5.1,0,2,4577.0,40299,16275
16059,6.1,0,1,2728.0,36031,7755
18023,2.7,0,1,6649.0,51659,32455
12021,2.9,73,2,103980.0,62407,356774
12033,3.2,120,3,72412.0,47361,309924
15003,2.5,148,8,185407.0,80078,990060
16007,3.6,0,1,1506.0,50603,5942
16011,2.9,5,2,8333.0,51307,45369
16013,3.1,0,1,4927.0,58835,21583
5105,4.3,0,0,2944.0,46168,10320
5107,7.2,6,1,4583.0,26652,19518
5119,3.8,209,8,80814.0,48850,392848
17031,3.4,1606,46,845162.0,59426,5238541
18123,3.4,4,1,4267.0,49689,19229
18129,2.8,0,0,5669.0,60992,25599
18143,3.2,4,1,5728.0,49243,23722
18147,4.0,0,0,4720.0,55280,20610
18155,3.6,0,0,1892.0,43468,10617
18163,3.1,154,2,38346.0,44815,181831
18029,3.9,8,1,11200.0,62905,49564
18037,2.4,26,1,8950.0,57307,42379
18039,2.7,35,2,35638.0,52449,202924
