countyFIPS,unemp,#ICU_beds,#Hospitals,#EligibleforMedicare2018
17201,4.7,87,3,60329.0
13287,4.9,0,0,2108.0
13291,3.5,5,1,9044.0
13299,3.8,22,1,8675.0
21105,5.2,0,0,1393.0
48273,4.5,10,1,5152.0
48311,1.5,0,0,195.0
48315,4.7,0,0,3141.0
48321,5.8,6,2,7381.0
48337,3.2,0,1,5358.0
54047,11.2,7,1,6187.0
54057,5.6,4,1,6902.0
54063,5.5,0,0,3957.0
54071,4.1,0,0,2222.0
54077,5.1,0,1,7893.0
51059,2.1,178,4,161327.0
51071,3.7,0,1,4824.0
51077,3.6,0,0,4940.0
51083,4.3,12,1,9978.0
51089,3.3,0,0,15710.0
51093,2.8,0,0,8734.0
51099,2.6,0,0,4166.0
51105,4.7,0,0,6699.0
21033,5.1,0,1,3472.0
13305,3.9,12,1,6233.0
51117,4.2,10,1,9583.0
53007,5.9,20,4,18257.0
48117,2.8,0,1,2910.0
48261,3.4,0,0,53.0
48135,3.3,50,2,20326.0
48141,3.8,203,9,130204.0
48155,2.9,0,0,354.0
48161,5.1,0,1,4420.0
48165,2.6,0,1,2120.0
51107,2.1,33,2,40078.0
51131,5.3,0,0,3771.0
51147,3.6,8,1,5054.0
51149,3.3,0,0,6394.0
51159,3.1,0,0,2140.0
51161,2.6,0,0,25670.0
51165,2.2,0,0,18223.0
51175,2.7,0,0,4376.0
51177,2.8,12,1,21776.0
55061,3.8,0,0,4663.0
56039,2.6,6,1,3765.0
53047,8.9,0,3,11214.0
48129,3.3,0,0,942.0
48167,4.0,26,1,58499.0
48221,3.5,12,1,17165.0
48225,3.3,0,1,5596.0
48229,4.2,0,0,829.0
48245,5.8,88,3,44847.0
48257,3.3,8,1,21329.0
51193,4.0,0,0,5321.0
51199,2.6,0,0,13059.0
53031,5.6,6,1,13614.0
55031,6.0,0,1,10365.0
55051,7.3,0,0,2144.0
53049,6.7,0,2,8532.0
51570,2.8,0,0,4580.0
51630,3.0,26,1,4769.0
51650,3.8,24,1,26797.0
51700,3.6,88,2,30329.0
51735,2.3,0,0,2661.0
51770,3.1,71,1,22540.0
55071,4.4,16,2,19667.0
55079,4.3,381,8,160544.0
55089,2.9,46,2,20436.0
53055,4.3,0,1,6182.0
53061,2.8,72,4,132524.0
53071,4.9,28,1,13559.0
53073,5.0,24,1,47310.0
22039,5.2,24,2,7252.0
27139,2.9,0,2,19210.0
31113,2.5,0,0,168.0
37043,4.2,0,0,4067.0
39057,3.9,20,2,33049.0
36009,6.1,0,1,18828.0
47169,3.3,0,1,1942.0
46073,2.4,0,1,688.0
48365,4.5,0,1,5325.0
48207,3.3,0,1,1428.0
51690,4.6,0,0,4493.0
55131,3.3,12,2,28476.0
54067,8.6,0,1,7426.0
51087,2.6,53,1,60023.0
1043,2.5,12,1,20368.0
1109,2.9,9,1,6637.0
9009,4.5,186,8,170510.0
5049,4.3,0,1,3905.0
5127,3.8,0,1,2796.0
21117,3.5,54,1,29830.0
19123,2.8,0,1,4860.0
47015,3.2,0,1,3458.0
38011,1.9,0,1,740.0
38083,7.9,0,0,448.0
48375,2.7,99,3,20016.0
31065,2.4,0,1,1395.0
28135,6.5,0,1,2929.0
41019,4.9,32,2,35078.0
29013,4.4,0,1,4069.0
55001,7.8,0,1,7409.0
53057,5.8,18,3,32233.0
6085,2.6,313,9,278733.0
13017,5.6,5,1,3899.0
18047,3.9,7,1,5838.0
22123,11.8,0,1,2762.0
26067,2.9,2,1,12033.0
37185,5.4,0,0,4913.0
45015,2.7,0,0,37637.0
13045,3.7,18,2,21742.0
37093,4.8,0,1,7334.0
20149,3.0,0,2,4179.0
28033,4.1,44,2,29643.0
42001,3.8,8,1,25200.0
37161,4.9,18,1,17104.0
21051,7.0,6,1,5144.0
13245,4.5,264,3,38422.0
13251,4.4,0,1,3388.0
13261,4.9,10,1,6408.0
13263,4.1,0,0,1719.0
13273,4.3,0,0,2361.0
20193,2.0,1,1,1590.0
20199,2.6,0,0,372.0
20201,2.8,0,2,1546.0
21195,7.0,76,2,16945.0
21211,3.0,4,1,8928.0
21213,4.3,0,1,4116.0
21223,4.3,0,0,2037.0
21225,4.6,0,1,3247.0
20037,4.0,12,2,7614.0
20043,3.8,0,0,1688.0
20061,4.5,6,1,4303.0
20067,2.5,0,1,1159.0
20071,1.8,0,1,312.0
20083,2.9,0,1,454.0
20089,2.6,0,1,981.0
22019,4.0,75,5,38237.0
22027,5.9,4,1,3583.0
22029,6.3,5,1,4403.0
22037,3.8,0,0,4622.0
53009,6.5,19,2,27656.0
53027,7.1,0,2,21107.0
55105,4.6,33,4,33867.0
55117,3.2,13,2,24909.0
55127,4.2,16,2,21838.0
55009,3.5,60,4,47864.0
49047,5.6,4,1,4411.0
49053,3.4,32,1,38896.0
50001,2.7,0,1,8538.0
50009,4.4,0,0,2077.0
50017,3.2,2,1,7323.0
50023,2.5,14,1,14406.0
22003,5.6,3,2,4779.0
22009,5.2,2,2,9215.0
